postDate,craigId,title,price,zipcode,longitude,beds,latitude,link,numPic,baths,date,updateDate,size,contentLen,reposts
"2015-11-11T17:03:46-0700,2015-11-11T17:03:46-0700,2015-11-24T17:55:15-0700",5311617662,"Night Patrol, Skylight, TV Lounge",1195,,-105.144911,1,39.721631,//denver.craigslist.org/apa/5311617662.html,9,1.0,Nov 24,"2015-11-11T17:03:46-0700,2015-11-11T17:03:46-0700,2015-11-24T17:55:15-0700",673,16,0
"2015-11-24T18:01:11-0700,2015-11-24T18:01:11-0700",5331150732,"20 Miles From DIA! Fireplace, Woodstyle Flooring, Available NOW!",1555,,-104.812531,2,39.971398,//denver.craigslist.org/apa/5331150732.html,4,2.0,Nov 24,"2015-11-24T18:01:11-0700,2015-11-24T18:01:11-0700",1189,48,0
"2015-11-24T17:53:22-0700,2015-11-24T17:53:22-0700",5331141968,City and Mountain view in one apartment. Check!,1270,,-104.992308,1,39.709183,//denver.craigslist.org/apa/5331141968.html,14,1.0,Nov 24,"2015-11-24T17:53:22-0700,2015-11-24T17:53:22-0700",584,21,0
"2015-11-24T18:01:49-0700,2015-11-24T18:01:49-0700",5331151420,Get Ready To Move!!,889,,-104.9312,1,39.7086,//denver.craigslist.org/apa/5331151420.html,3,1.0,Nov 24,"2015-11-24T18:01:49-0700,2015-11-24T18:01:49-0700",500,42,0
"2015-11-24T17:53:32-0700,2015-11-24T17:53:32-0700",5331142169,Must See!!! 1 Bed available ASAP!!!,820,,-104.902064,1,39.697488,//denver.craigslist.org/apa/5331142169.html,4,1.0,Nov 24,"2015-11-24T17:53:32-0700,2015-11-24T17:53:32-0700",570,26,0
"2015-11-20T18:06:51-0700,2015-11-20T18:06:51-0700,2015-11-24T17:56:28-0700",5325270819,Amazing rental opportunity just blocks from Cheesman Park. Ready now!,990,,-104.963635,1,39.735978,//denver.craigslist.org/apa/5325270819.html,6,1.0,Nov 24,"2015-11-20T18:06:51-0700,2015-11-20T18:06:51-0700,2015-11-24T17:56:28-0700",545,22,0
"2015-11-15T15:28:21-0700,2015-11-15T15:28:21-0700,2015-11-24T17:59:19-0700",5317458266,1st floor coming available DEC 11th!,555,,-104.756606,1,38.886304,//cosprings.craigslist.org/apa/5317458266.html,20,1.0,Nov 24,"2015-11-15T15:28:21-0700,2015-11-15T15:28:21-0700,2015-11-24T17:59:19-0700",460,18,0
"2015-11-24T18:02:47-0700,2015-11-24T18:02:47-0700",5331152542,Trail Access From this Affordable Townhome with Washer and Dryer,985,,-104.798031,2,38.929593,//cosprings.craigslist.org/apa/5331152542.html,6,1.0,Nov 24,"2015-11-24T18:02:47-0700,2015-11-24T18:02:47-0700",1066,19,0
"2015-11-24T18:02:25-0700,2015-11-24T18:02:25-0700",5331152111,A PATIO WITH AN EXTRA STORAGE AVAILABLE IN THIS 1BR/1.5BA HOME!,1031,,,1,,//cosprings.craigslist.org/apa/5331152111.html,12,1.5,Nov 24,"2015-11-24T18:02:25-0700,2015-11-24T18:02:25-0700",755,16,0
"2015-11-15T11:00:04-0700,2015-11-15T11:00:04-0700,2015-11-24T18:01:34-0700",5317067582,"2 bedroom - Resident Business Center, Putting Green, Balconies",1475,,-104.8972,2,39.5506,//denver.craigslist.org/apa/5317067582.html,10,1.0,Nov 24,"2015-11-15T11:00:04-0700,2015-11-15T11:00:04-0700,2015-11-24T18:01:34-0700",975,8,0
"2015-10-27T17:45:11-0600,2015-10-27T17:45:11-0600,2015-11-24T18:01:31-0700",5288492525,"Kent: Wonderful studio in a great area, ready for immediate move in.",885,,-104.937265,0,39.734531,//denver.craigslist.org/apa/5288492525.html,10,1.0,Nov 24,"2015-10-27T17:45:11-0600,2015-10-27T17:45:11-0600,2015-11-24T18:01:31-0700",462,8,0
"2015-11-24T18:02:52-0700,2015-11-24T18:02:52-0700",5331152607,Wow! Spacious 1 bedroom available soon!,960,,-104.905422,1,39.67781,//denver.craigslist.org/apa/5331152607.html,8,1.0,Nov 24,"2015-11-24T18:02:52-0700,2015-11-24T18:02:52-0700",706,12,0
"2015-11-24T18:04:35-0700,2015-11-24T18:04:35-0700",5331154539,"Two Bed In Cap Hill- High Ceilings, Parking & Storage! Big Savings!",1880,,-104.975352,2,39.732076,//denver.craigslist.org/apa/5331154539.html,17,1.0,Nov 24,"2015-11-24T18:04:35-0700,2015-11-24T18:04:35-0700",852,31,0
