5322863629,1264,3,2.5,
5332218929,524,1,1,
5332217847,542,1,1,
5322550203,,1,,
5291680379,636,1,1,
5327498526,,1,,
5324399960,,1,,
5294556032,2060,4,3,
5300334447,4300,6,3,
5294550856,5207,5,6,
5300284452,1750,3,3,
5332407264,600,1,1,
5332408664,,1,,
5299300501,1725,2,2.5,
5305803320,800,2,1,
5297844481,750,1,1,
5332161406,915,2,2,
5332126140,1150,2,2,
5304286310,1200,2,2,
5332157565,700,1,1,
5332148378,,2,,
5332198952,,3,,
5332325600,1980,3,4,
5332362862,691,1,1,
5332354371,,2,,
5332364441,1050,2,2,
5332278605,,0,,
5320229610,1000,2,2.5,
5332356661,1200,2,2,
5332263187,,2,,
5320119131,1000,2,2.5,
5318558046,1000,2,2.5,
5318507892,1000,2,2.5,
5332220643,490,0,1,
5332320480,500,1,1,
5324582968,,2,,
5332220673,1430,2,2,
5325720658,760,2,2,
5332208572,729,1,1,
5332224803,763,1,1,
5326524684,1100,2,2,
5332204172,495,1,1,
5299297817,1508,3,2,
5299295888,790,2,1,
5311742294,,4,,
5322329080,1200,2,2,
5295280028,3957,4,4,
5296268447,1951,4,5,
5296270978,1290,2,2,
5332167275,1000,2,1,
5332149851,1300,2,2,
5332170142,1532,2,2,
5328570598,1100,2,2,
5332170797,915,2,2,
5332158530,700,1,1,
5332162106,,2,,
5315989975,603,1,1,
5332358584,720,1,1,
5332371237,1120,2,1.5,
5332365224,995,2,1,
5332349272,1098,3,2,
5332308898,553,0,1,
5332321238,600,1,1,
5332373621,1190,1,1.5,
5332310783,698,1,1,
5323665578,,1,,
5332364910,850,1,1,
5332292552,1081,2,2,
5332322426,360,0,360,
5332323553,,2,,
5332221005,,2,,
5320576947,,2,,
5311682388,,1,,
5322361085,,2,,
5313991398,,2,,
5318526071,,3,,
5329031995,,2,,
5287761801,1314,4,2,
5306086905,1310,2,2,
5329298317,1612,4,2,
5294311117,2340,3,3,
5332164278,807,1,1,
5332174124,1344,3,2,
5296272849,4799,5,8,
5332174699,1050,2,2,
5304044441,,2,,
5332331847,,1,,
5332175483,1344,3,2,
5323610621,,1,,
5303853427,,3,,
5332293933,,0,,
5328323639,1178,2,2,
5332378461,710,1,1,
5332377454,1170,2,2,
5316762216,667,1,1,
5332306702,,2,,
5332328464,600,1,1,
5332328411,,1,,
5332307417,723,1,1,
5332317762,,2,,
5329141542,,2,,
5332221232,,2,,
5332078516,655,1,1,
5318532048,,2,,
5332211999,442,1,1,
5324611029,,2,,
5326627242,,2,,
5300345777,,2,,
5294528666,5173,5,5,
5294536512,1413,2,2,
5329299861,1612,4,2,
5294511728,2415,3,2,
5295460011,1312,2,2,
5325034907,1344,3,2,
5325037130,1344,3,2,
5328321085,,2,,
5328324040,1126,3,2,
5328980083,,3,,
5328885201,,1,,
5332296253,,0,,
5332380442,1285,2,2.5,
5332377098,,1,,
5332328980,1100,2,2,
5332349348,1401,1,1,
5332288727,1500,3,2,
5308659499,,1,,
5332317403,,1,,
5332289040,,0,,
5332330426,533,1,1,
5324965994,500,1,1,
5332316631,,1,,
5332236809,1087,2,2,
5296707011,2000,3,2.5,
5332201107,,2,,
5326627313,,2,,
5300421208,,2,,
5300472518,,1,,
5332229041,692,1,1,
5321566184,,3,,
5311227895,,3,,
5289420449,742,2,1,
5332428511,935,2,2,
5295312567,1083,3,1,
5328879901,,2,,
5324889889,,2,,
5332419070,,3,,
5295380798,1590,3,3,
5324891475,,1,,
5332387561,800,1,1,
5297303032,,1,,
5308194367,,0,,
5303565668,,2,,
5332379226,800,1,1,
5304238125,,0,,
5332289102,1500,3,2,
5332387814,900,2,2,
5328825880,1100,2,2,
5332332672,1200,2,2,
5332332843,482,1,1,
5332309719,1400,1,1,
5332202396,450,0,1,
5332333251,698,1,1,
5332182221,,3,,
5332239301,720,1,1,
5332226774,,2,,
5332241937,375,1,1,
5332244971,1500,3,3,
5321576122,,2,,
5296279405,2190,3,2,
5332214232,312,0,1,
5296274371,,3,,
5296276156,2680,4,5,
5332430132,,2,,
5320701282,,2,,
5321573227,1150,2,2,
5320705779,,1,,
5296780638,917,1,1.5,
5322218644,,0,,
5332180446,1130,2,2,
5332138533,800,1,1,
5332291346,,0,,
5315994990,,2,,
5332388928,1250,2,2,
5332383125,,1,,
5332392714,,3,,
5332335533,,1,,
5332389062,,0,,
5332317196,,2,,
5332333787,1375,2,2,
5332333814,,1,,
5328940448,,1,,
5332320536,,1,,
5332233737,827,2,2,
5332222115,470,1,1,
5329244667,,1,,
5332247112,1283,2,2,
5332336007,558,0,1,
5332233629,340,0,1,
5332379396,,0,,
5315502131,1520,3,3.5,
5332249754,1000,2,1,
