postDate,craigId,title,price,zipcode,longitude,beds,latitude,link,numPic,baths,date,updateDate,size,contentLen,reposts
"2015-11-10T08:43:48-0700,2015-11-10T08:43:48-0700,2015-11-25T14:54:29-0700",5309120526,"Disposal, Sundeck, Skylight",905,,-104.7502,2,38.825194,//cosprings.craigslist.org/apa/5309120526.html,9,1.0,Nov 25,"2015-11-10T08:43:48-0700,2015-11-10T08:43:48-0700,2015-11-25T14:54:29-0700",920,15,0
"2015-11-23T13:44:40-0700,2015-11-23T13:44:40-0700,2015-11-25T14:53:56-0700",5329250670,"Remodeled 3 Bedroom, 1 bath Home - Duplex",1650,,-105.083917,3,39.734942,//denver.craigslist.org/apa/5329250670.html,6,,Nov 25,"2015-11-23T13:44:40-0700,2015-11-23T13:44:40-0700,2015-11-25T14:53:56-0700",,11,0
"2015-11-25T14:50:25-0700,2015-11-25T14:50:25-0700",5332324824,Say Whaat?! Check these prices out cause they won't last long!!!,,,-104.917114,0,39.674407,//denver.craigslist.org/apa/5332324824.html,7,,Nov 25,"2015-11-25T14:50:25-0700,2015-11-25T14:50:25-0700",,16,0
"2015-11-09T16:14:12-0700,2015-11-09T16:14:12-0700,2015-11-25T14:56:34-0700",5308328870,ACCESSIBLE FROM MAJOR FREEWAYS! BEAUTIFUL VIEWS!,1350,,-105.06675,1,39.874923,//denver.craigslist.org/apa/5308328870.html,8,1.0,Nov 25,"2015-11-09T16:14:12-0700,2015-11-09T16:14:12-0700,2015-11-25T14:56:34-0700",856,20,0
"2015-11-01T14:19:19-0700,2015-11-01T14:19:19-0700,2015-11-25T14:49:30-0700",5295663353,1bedrooms are here at el vecino Apartments,485,,-104.776431,1,38.807633,//cosprings.craigslist.org/apa/5295663353.html,0,1.0,Nov 25,"2015-11-01T14:19:19-0700,2015-11-01T14:19:19-0700,2015-11-25T14:49:30-0700",576,30,0
"2015-11-01T14:10:02-0700,2015-11-01T14:10:02-0700,2015-11-25T14:49:25-0700",5295650037,1bedrooms are here at el vecino Apartments,485,,-104.776431,1,38.807633,//cosprings.craigslist.org/apa/5295650037.html,0,1.0,Nov 25,"2015-11-01T14:10:02-0700,2015-11-01T14:10:02-0700,2015-11-25T14:49:25-0700",576,30,0
"2015-11-25T15:01:32-0700,2015-11-25T15:01:32-0700",5332339968,1 Bedroom - 1st Floor - Won't Last Long!,1125,,,1,,//denver.craigslist.org/apa/5332339968.html,10,1.0,Nov 25,"2015-11-25T15:01:32-0700,2015-11-25T15:01:32-0700",687,13,0
"2015-11-25T15:01:52-0700,2015-11-25T15:01:52-0700",5332340379,Terrific Two Bedrooms!,1460,,,2,,//denver.craigslist.org/apa/5332340379.html,6,2.0,Nov 25,"2015-11-25T15:01:52-0700,2015-11-25T15:01:52-0700",1093,44,0
"2015-11-25T14:49:58-0700,2015-11-25T14:49:58-0700",5332324112,Only 2x2 Left! Act Fast!,1355,,-104.801228,2,39.719758,//denver.craigslist.org/apa/5332324112.html,4,2.0,Nov 25,"2015-11-25T14:49:58-0700,2015-11-25T14:49:58-0700",932,90,0
"2015-11-25T15:03:46-0700,2015-11-25T15:03:46-0700",5332342883,"Free 43"" HDTV AND Two Months Free Rent!! Black Friday Sale!!!",1775,,-105.122595,2,39.74158,//denver.craigslist.org/apa/5332342883.html,10,2.0,Nov 25,"2015-11-25T15:03:46-0700,2015-11-25T15:03:46-0700",1200,23,0
