postDate,craigId,title,price,zipcode,longitude,beds,latitude,link,numPic,baths,date,updateDate,size,contentLen,reposts
"2015-11-25T13:32:53-0800,2015-11-25T13:32:53-0800",5332300767,1BDR/1BA APT AVAIL NOW! DON'T MISS THIS- CALL TODAY!!!,1595,,-118.429918,1,34.029726,/wst/apa/5332300767.html,11,,Nov 25,"2015-11-25T13:32:53-0800,2015-11-25T13:32:53-0800",,11,0
"2015-11-25T13:03:36-0800,2015-11-25T13:03:36-0800",5332259146,Goregeous TWO Story Property..prime Location,830,,,3,,/wst/apa/5332259146.html,0,2.0,Nov 25,"2015-11-25T13:03:36-0800,2015-11-25T13:03:36-0800",1434,100,0
"2015-11-25T13:34:43-0800,2015-11-25T13:34:43-0800",5332303272,"Spacious townhouse, light-filled, hardwood floors, 2 parking",3660,,-118.495613,2,34.026509,/wst/apa/5332303272.html,15,,Nov 25,"2015-11-25T13:34:43-0800,2015-11-25T13:34:43-0800",,8,0
"2015-11-25T13:24:24-0800,2015-11-25T13:24:24-0800",5332288738,You've Just Found The Most Updated Apartment,1090,,,1,,/wst/apa/5332288738.html,4,,Nov 25,"2015-11-25T13:24:24-0800,2015-11-25T13:24:24-0800",,1,0
"2015-11-04T10:32:13-0800,2015-11-04T10:32:13-0800,2015-11-25T14:57:20-0800",5300235034,Ocean Crest Super Nice 2 Bedroom Condo for Rent Palos Verdes,2450,,,2,,/wst/apa/5300235034.html,3,,Nov 25,"2015-11-04T10:32:13-0800,2015-11-04T10:32:13-0800,2015-11-25T14:57:20-0800",,32,0
"2015-11-25T15:02:41-0800,2015-11-25T15:02:41-0800",5332416209,Around the beach areas of Marina Del Rey,4200,,-118.459053,2,33.972406,/wst/apa/5332416209.html,0,2.0,Nov 25,"2015-11-25T15:02:41-0800,2015-11-25T15:02:41-0800",1100,8,0
"2015-11-25T14:33:27-0800,2015-11-25T14:33:27-0800",5332380936,Amazing apartments in Marina Del Rey,2650,,,0,,/wst/apa/5332380936.html,6,1.0,Nov 25,"2015-11-25T14:33:27-0800,2015-11-25T14:33:27-0800",589,34,0
"2015-11-25T13:35:29-0800,2015-11-25T13:35:29-0800",5332304359,Awesome one bedroom apartment with remodeled kitchen * New Carpet!! *,900,,,1,,/wst/apa/5332304359.html,7,,Nov 25,"2015-11-25T13:35:29-0800,2015-11-25T13:35:29-0800",,24,0
"2015-11-25T15:03:19-0800,2015-11-25T15:03:19-0800",5332416945,Ask About our Lovely Newly Renovated 2 Bed 2 Bath,2975,,-118.41956,2,34.048659,/wst/apa/5332416945.html,0,2.0,Nov 25,"2015-11-25T15:03:19-0800,2015-11-25T15:03:19-0800",1260,19,0
"2015-11-25T11:45:40-0800,2015-11-25T11:45:40-0800",5332141417,Don't wait on this two bedroom unit,1075,,,2,,/wst/apa/5332141417.html,4,,Nov 25,"2015-11-25T11:45:40-0800,2015-11-25T11:45:40-0800",,1,0
"2015-11-11T17:47:04-0800,2015-11-11T17:47:04-0800,2015-11-25T14:57:39-0800",5311744141,Rolling Hills 5 Bedroom: City and Canyon Views,4500,,,5,,/wst/apa/5311744141.html,4,4.0,Nov 25,"2015-11-11T17:47:04-0800,2015-11-11T17:47:04-0800,2015-11-25T14:57:39-0800",3500,30,0
"2015-11-25T11:48:48-0800,2015-11-25T11:48:48-0800",5332146627,Large One Bedroom with Pool View!,2590,,-118.4525,1,33.9779,/wst/apa/5332146627.html,4,1.0,Nov 25,"2015-11-25T11:48:48-0800,2015-11-25T11:48:48-0800",863,6,0
"2015-11-25T11:31:29-0800,2015-11-25T11:31:29-0800",5332118751,Brand-New Apartments in a Historic Community,3319,,-118.460269,1,33.999232,/wst/apa/5332118751.html,6,1.0,Nov 25,"2015-11-25T11:31:29-0800,2015-11-25T11:31:29-0800",790,15,0
"2015-11-25T11:50:36-0800,2015-11-25T11:50:36-0800",5332149582,Lawler Apts. 1 Bed/ 1 Bath,1995,,-118.414711,1,34.02401,/wst/apa/5332149582.html,24,1.0,Nov 25,"2015-11-25T11:50:36-0800,2015-11-25T11:50:36-0800",700,55,0
"2015-11-25T13:49:26-0800,2015-11-25T13:49:26-0800",5332323370,2 Bedroom Apartment in Torrance,1600,,-118.3507,0,33.8106,/wst/apa/5332323370.html,0,,Nov 25,"2015-11-25T13:49:26-0800,2015-11-25T13:49:26-0800",,23,0
"2015-11-17T15:57:30-0800,2015-11-17T15:57:30-0800,2015-11-25T11:43:36-0800",5320682711,"Large, bright apartment in beautiful courtyard setting.",1550,,-118.3548,2,33.9745,/wst/apa/5320682711.html,7,2.0,Nov 25,"2015-11-17T15:57:30-0800,2015-11-17T15:57:30-0800,2015-11-25T11:43:36-0800",904,27,0
