postDate,craigId,title,price,zipcode,longitude,beds,latitude,link,numPic,baths,date,updateDate,size,contentLen,reposts
"2015-10-23T09:57:51-0700,2015-10-23T09:57:51-0700,2015-11-21T12:36:32-0800",5281680590,FREE RENT UNTIL 2016*! BRAND NEW BUILDING IN CAPITOL HILL!,1684,,-122.321928,1,47.620889,/see/apa/5281680590.html,21,1.0,Nov 21,"2015-10-23T09:57:51-0700,2015-10-23T09:57:51-0700,2015-11-21T12:36:32-0800",600,37,0
"2015-11-21T11:23:07-0800,2015-11-21T11:23:07-0800",5326262816,Available now with reduced pricing!!!!,1245,,-122.294993,0,47.719293,/see/apa/5326262816.html,13,1.0,Nov 21,"2015-11-21T11:23:07-0800,2015-11-21T11:23:07-0800",467,38,0
"2015-11-21T11:23:30-0800,2015-11-21T11:23:30-0800",5326263494,Top Floor - Free Rent Until January 1st!,1850,,-122.38874,2,47.65202,/see/apa/5326263494.html,9,2.0,Nov 21,"2015-11-21T11:23:30-0800,2015-11-21T11:23:30-0800",995,29,0
"2015-11-21T11:23:34-0800,2015-11-21T11:23:34-0800",5326263630,Studio in GREAT location! W/D Roof-top Area!!,1245,,-122.294993,0,47.719293,/see/apa/5326263630.html,13,1.0,Nov 21,"2015-11-21T11:23:34-0800,2015-11-21T11:23:34-0800",467,38,0
"2015-11-21T10:50:47-0800,2015-11-21T10:50:47-0800",5326205105,Get 2-Months Free With This Modern Studio Now Available,1271,,-122.316735,0,47.601763,/see/apa/5326205105.html,16,1.0,Nov 21,"2015-11-21T10:50:47-0800,2015-11-21T10:50:47-0800",470,19,0
"2015-11-09T10:21:54-0800,2015-11-09T10:21:54-0800,2015-11-21T11:19:56-0800",5307792139,Perfectly located between Capitol Hill and Downtown - Hold today!,1250,,-122.325237,1,47.60642,/see/apa/5307792139.html,9,1.0,Nov 21,"2015-11-09T10:21:54-0800,2015-11-09T10:21:54-0800,2015-11-21T11:19:56-0800",400,36,0
"2015-11-02T09:55:38-0800,2015-11-02T09:55:38-0800,2015-11-21T12:36:43-0800",5296862035,Free Rent Until 2016* in New Building!!,1823,,-122.32197,1,47.62086,/see/apa/5296862035.html,23,1.0,Nov 21,"2015-11-02T09:55:38-0800,2015-11-02T09:55:38-0800,2015-11-21T12:36:43-0800",600,29,0
"2015-11-02T09:54:09-0800,2015-11-02T09:54:09-0800,2015-11-21T12:36:51-0800",5296858919,FREE RENT UNTIL 2016*! BRAND NEW BUILDING IN CAPITOL HILL!,2089,,-122.321949,1,47.62086,/see/apa/5296858919.html,23,1.0,Nov 21,"2015-11-02T09:54:09-0800,2015-11-02T09:54:09-0800,2015-11-21T12:36:51-0800",600,16,0
"2015-11-02T09:53:04-0800,2015-11-02T09:53:04-0800,2015-11-21T12:37:01-0800",5296856628,FREE RENT UNTIL 2016*! BRAND NEW BUILDING IN CAPITOL HILL!,1658,,-122.322037,1,47.62122,/see/apa/5296856628.html,22,1.0,Nov 21,"2015-11-02T09:53:04-0800,2015-11-02T09:53:04-0800,2015-11-21T12:37:01-0800",600,38,0
"2015-11-21T11:23:52-0800,2015-11-21T11:23:52-0800",5326264177,1-bedroom apartment available NOW with a water view!,2500,,-122.33533,1,47.608233,/see/apa/5326264177.html,15,1.0,Nov 21,"2015-11-21T11:23:52-0800,2015-11-21T11:23:52-0800",715,3,0
"2015-11-21T12:41:58-0800,2015-11-21T12:41:58-0800",5326397028,"Now Available, Gated Entry, Dishwasher, Pets OK",1394,,,4,,/see/apa/5326397028.html,21,2.0,Nov 21,"2015-11-21T12:41:58-0800,2015-11-21T12:41:58-0800",1259,23,0
"2015-11-21T12:42:04-0800,2015-11-21T12:42:04-0800",5326397189,Why Look Further? THIS IS HOME **one bedroom** in Capitol Hill,1567,,-122.316737,0,47.609532,/see/apa/5326397189.html,16,592.0,Nov 21,"2015-11-21T12:42:04-0800,2015-11-21T12:42:04-0800",592,17,0
"2015-11-21T11:24:28-0800,2015-11-21T11:24:28-0800",5326265285,*SPACIOUS 1 BEDROOM**MOVE IN December 20 **THEATER**LOUNGE**COURTYARD,1879,,-122.3015,1,47.717,/see/apa/5326265285.html,0,1.0,Nov 21,"2015-11-21T11:24:28-0800,2015-11-21T11:24:28-0800",689,20,0
"2015-11-17T17:39:30-0800,2015-11-17T17:39:30-0800,2015-11-21T12:37:21-0800",5320814107,One Bed Available Now! Free Rent Until 2016* in New Building!,2089,,,1,,/see/apa/5320814107.html,18,1.0,Nov 21,"2015-11-17T17:39:30-0800,2015-11-17T17:39:30-0800,2015-11-21T12:37:21-0800",600,29,0
"2015-11-12T15:33:44-0800,2015-11-12T15:33:44-0800,2015-11-21T12:37:38-0800",5313142636,Prelease this Beautiful 3x2 Today! Washer and Dryer in Home!,1945,,-122.3431,3,47.7377,/see/apa/5313142636.html,13,2.0,Nov 21,"2015-11-12T15:33:44-0800,2015-11-12T15:33:44-0800,2015-11-21T12:37:38-0800",1101,38,0
"2015-11-21T11:24:11-0800,2015-11-21T11:24:11-0800",5326264761,Available NOW - Mid-modern Downtown / First Hill / Capitol Hill,1250,,-122.324417,1,47.606496,/see/apa/5326264761.html,14,1.0,Nov 21,"2015-11-21T11:24:11-0800,2015-11-21T11:24:11-0800",400,36,0
"2015-10-25T10:21:24-0700,2015-10-25T10:21:24-0700,2015-11-21T11:19:37-0800",5284616372,Brand New Townhouse in Greenwood,2490,,-122.346639,3,47.699698,/see/apa/5284616372.html,12,2.5,Nov 21,"2015-10-25T10:21:24-0700,2015-10-25T10:21:24-0700,2015-11-21T11:19:37-0800",1610,6,0
"2015-11-21T12:16:19-0800,2015-11-21T12:16:19-0800",5326354882,TOP FLOOR CORNER 1x1! CONVENIENT LOCATION!,1988,,-122.332313,1,47.613555,/see/apa/5326354882.html,19,1.0,Nov 21,"2015-11-21T12:16:19-0800,2015-11-21T12:16:19-0800",676,38,0
"2015-11-17T17:49:38-0800,2015-11-17T17:49:38-0800,2015-11-21T12:37:11-0800",5320826290,FREE RENT UNTIL 2016*! BRAND NEW BUILDING!!,2177,,-122.321928,1,47.620831,/see/apa/5320826290.html,15,1.0,Nov 21,"2015-11-17T17:49:38-0800,2015-11-17T17:49:38-0800,2015-11-21T12:37:11-0800",650,16,0
"2015-11-21T11:24:51-0800,2015-11-21T11:24:51-0800",5326265993,Urban 1 Bedroom with Patio in Pet Friendly Green Lake! 2 Month's Free!,1740,,-122.32406,1,47.680426,/see/apa/5326265993.html,4,1.0,Nov 21,"2015-11-21T11:24:51-0800,2015-11-21T11:24:51-0800",581,13,0
"2015-11-21T11:19:42-0800,2015-11-21T11:19:42-0800",5326256797,Top Floor One-Bedroom w/ Balcony above PCC !!!,1509,,-122.285889,1,47.559105,/see/apa/5326256797.html,11,1.0,Nov 21,"2015-11-21T11:19:42-0800,2015-11-21T11:19:42-0800",672,46,0
"2015-11-21T12:26:48-0800,2015-11-21T12:26:48-0800",5326372264,Classic Vintage One Bedroom in Cap Hill,1875,,-122.326537,1,47.62522,/see/apa/5326372264.html,5,1.0,Nov 21,"2015-11-21T12:26:48-0800,2015-11-21T12:26:48-0800",600,22,0
"2015-11-21T12:33:00-0800,2015-11-21T12:33:00-0800",5326382411,Stainless Steel Appliances & Walk-In Closets in This 2BR/1BA Home,1968,,-122.328588,2,47.608177,/see/apa/5326382411.html,5,1.0,Nov 21,"2015-11-21T12:33:00-0800,2015-11-21T12:33:00-0800",732,25,0
"2015-11-21T12:45:44-0800,2015-11-21T12:45:44-0800",5326402968,Huge Ceilings! Save BIG this weekend ONLY!,1790,,-122.337504,1,47.6064,/see/apa/5326402968.html,7,1.0,Nov 21,"2015-11-21T12:45:44-0800,2015-11-21T12:45:44-0800",815,6,0
"2015-11-13T13:01:24-0800,2015-11-13T13:01:24-0800,2015-11-21T11:20:50-0800",5314515529,"Location!!! 3 beds, 2.5 baths townhouse. Mins to Northgate Mall",2250,,,3,,/see/apa/5314515529.html,10,2.5,Nov 21,"2015-11-13T13:01:24-0800,2015-11-13T13:01:24-0800,2015-11-21T11:20:50-0800",1381,7,0
"2015-11-21T11:25:56-0800,2015-11-21T11:25:56-0800",5326267912,Recently Updated 3-Bedroom with Garage in Northgate,2000,,-122.337977,3,47.70512,/see/apa/5326267912.html,13,2.0,Nov 21,"2015-11-21T11:25:56-0800,2015-11-21T11:25:56-0800",1200,6,0
"2015-11-21T12:44:29-0800,2015-11-21T12:44:29-0800",5326400944,"Check, Check, Check, and Check!",2127,,,2,,/see/apa/5326400944.html,7,1.0,Nov 21,"2015-11-21T12:44:29-0800,2015-11-21T12:44:29-0800",724,5,0
"2015-11-21T11:15:12-0800,2015-11-21T11:15:12-0800",5326248666,**BRAND NEW** Spacious Apartment in the Heart of Columbia City!!!,1492,,-122.286456,1,47.559085,/see/apa/5326248666.html,11,1.0,Nov 21,"2015-11-21T11:15:12-0800,2015-11-21T11:15:12-0800",688,46,0
"2015-11-21T12:46:20-0800,2015-11-21T12:46:20-0800",5326403878,Newly Lowered Rent! [Modern] 1 Bedroom with Den,1971,,-122.326537,1,47.62522,/see/apa/5326403878.html,6,1.0,Nov 21,"2015-11-21T12:46:20-0800,2015-11-21T12:46:20-0800",755,11,0
"2015-11-21T12:47:04-0800,2015-11-21T12:47:04-0800",5326405054,"$99 holds your home, LEED Gold, NEW, 1 bed 1.5 bath LOFT!",2195,,,1,,/see/apa/5326405054.html,11,1.5,Nov 21,"2015-11-21T12:47:04-0800,2015-11-21T12:47:04-0800",896,39,0
"2015-11-21T12:34:16-0800,2015-11-21T12:34:16-0800",5326384548,Stunning Loft in Cosmopolitan Neighborhood (Capitol H,2295,,-122.323937,1,47.62322,/see/apa/5326384548.html,9,1.5,Nov 21,"2015-11-21T12:34:16-0800,2015-11-21T12:34:16-0800",750,44,0
"2015-11-21T12:46:01-0800,2015-11-21T12:46:01-0800",5326403412,1 Bed+Den BLOWOUT PRICING!! Only at Brand New VUE!,1870,,-122.373102,1,47.564419,/see/apa/5326403412.html,15,1.0,Nov 21,"2015-11-21T12:46:01-0800,2015-11-21T12:46:01-0800",783,39,0
"2015-11-21T12:46:12-0800,2015-11-21T12:46:12-0800",5326403707,Gigantic 2 bedroom 2 bathroom unit coming available!,2595,,-122.31126,2,47.615191,/see/apa/5326403707.html,17,2.0,Nov 21,"2015-11-21T12:46:12-0800,2015-11-21T12:46:12-0800",936,38,0
"2015-11-21T13:35:56-0800,2015-11-21T13:35:56-0800",5326481065,This Deal Won't Last Long!,1887,,-122.337504,1,47.6064,/see/apa/5326481065.html,6,1.0,Nov 21,"2015-11-21T13:35:56-0800,2015-11-21T13:35:56-0800",893,6,0
"2015-11-15T19:27:25-0800,2015-11-15T19:27:25-0800,2015-11-21T13:31:05-0800",5317798780,Luxury Furnished Apt in the Heart of Belltown,2200,,-122.349286,1,47.616159,/see/apa/5317798780.html,17,1.0,Nov 21,"2015-11-15T19:27:25-0800,2015-11-15T19:27:25-0800,2015-11-21T13:31:05-0800",700,16,0
"2015-11-21T11:26:23-0800,2015-11-21T11:26:23-0800",5326268721,"Pre Lease for December! Corner unit, 1 bed + Den!",2128,,-122.386932,1,47.556376,/see/apa/5326268721.html,24,1.0,Nov 21,"2015-11-21T11:26:23-0800,2015-11-21T11:26:23-0800",881,27,0
"2015-11-21T11:21:55-0800,2015-11-21T11:21:55-0800",5326260666,1 Bedroom Apartment in the Beautiful Columbia City!!! Call Today!,1514,,-122.285889,1,47.559105,/see/apa/5326260666.html,11,1.0,Nov 21,"2015-11-21T11:21:55-0800,2015-11-21T11:21:55-0800",690,46,0
"2015-11-18T22:55:49-0800,2015-11-18T22:55:49-0800,2015-11-21T11:21:39-0800",5322585930,6 WEEKS FREE! BEST PROPERTY IN SEATTLE !,2025,,-122.346438,1,47.61872,/see/apa/5322585930.html,13,1.0,Nov 21,"2015-11-18T22:55:49-0800,2015-11-18T22:55:49-0800,2015-11-21T11:21:39-0800",721,7,0
"2015-11-21T11:28:01-0800,2015-11-21T11:28:01-0800",5326271536,"**1 month free rent**, Washers and Dryers in All Units",1609,,-122.348664,1,47.617143,/see/apa/5326271536.html,10,1.0,Nov 21,"2015-11-21T11:28:01-0800,2015-11-21T11:28:01-0800",552,36,0
